lambda,wait_time,prob_wait
1.17,0.000111863381815,0.000425
1.58,0.00114947476944,0.004037
2,0.00621162757038,0.0189545
2.42,0.022276162506,0.0593425
2.83,0.062047399866,0.138282
3.24,0.156128395231,0.267233
3.66,0.404949199876,0.4662275
4.08,1.39323411823,0.736135
